chinese,chinese_tw,english,vietnamese,category,subcategory,notes
鬼影迷踪,鬼影迷蹤,Ghost Shadow Trackless,Quỷ Ảnh Mê Tung,technique,medium,Dark - Stealth movement
五雷正法,五雷正法,Five Thunder Righteous Method,Ngũ Lôi Chính Pháp,technique,medium,Thunder - Orthodox thunder arts
吸星大法,吸星大法,Star Absorbing Art,Hấp Tinh Đại Pháp,technique,medium,Evil - Absorbs others' power
草字剑诀,草字劍訣,Grass Script Sword Scripture,Thảo Tự Kiếm Quyết,technique,superior,Bright Heart - Legendary sword art
神剑御雷真诀,神劍御雷真訣,Divine Sword Thunder Control Scripture,Thần Kiếm Ngự Lôi Chân Quyết,technique,superior,Bright Heart - Thunder sword art
大河剑意,大河劍意,Great River Sword Intent,Đại Hà Kiếm Ý,technique,superior,Bright Heart - Flowing sword art
青帝长生诀,青帝長生訣,Azure Emperor Longevity Scripture,Thanh Đế Trường Sinh Quyết,technique,superior,Hundred Beasts - Wood longevity art
神象镇狱劲,神象鎮獄勁,Divine Elephant Prison Suppression Force,Thần Tượng Trấn Ngục Kình,technique,superior,Hundred Beasts - Strength technique
鲲鹏宝术,鯤鵬寶術,Kunpeng Treasure Art,Côn Bằng Bảo Thuật,technique,superior,Hundred Beasts - Transformation art
虚空经,虛空經,Void Scripture,Hư Không Kinh,technique,superior,Water Mirror - Space manipulation
太上忘情录,太上忘情錄,Supreme Forgetfulness Record,Thái Thượng Vong Tình Lục,technique,superior,Water Mirror - Emotional detachment
逍遥游,逍遙遊,Carefree Wandering,Tiêu Dao Du,technique,superior,Water Mirror - Freedom technique
吞天魔功,吞天魔功,Heaven Devouring Demonic Art,Thôn Thiên Ma Công,technique,superior,Underworld King - Absorption technique
天魔策,天魔策,Heavenly Demon Strategy,Thiên Ma Sách,technique,superior,Underworld King - Demonic technique
冥河真经,冥河真經,Styx River True Scripture,Minh Hà Chân Kinh,technique,superior,Underworld King - Blood technique
焚诀,焚訣,Burning Scripture,Phần Quyết,technique,superior,Crimson Hook - Fire absorption
道心种魔大法,道心種魔大法,Dao Heart Demon Planting Art,Đạo Tâm Chủng Ma Đại Pháp,technique,superior,Crimson Hook - Mind control
大衍决,大衍決,Great Derivation Scripture,Đại Diễn Quyết,technique,superior,Crimson Hook - Puppet control
大乐赋,大樂賦,Great Bliss Rhapsody,Đại Lạc Phú,technique,superior,Joy Union - Dual cultivation
天魔舞,天魔舞,Heavenly Demon Dance,Thiên Ma Vũ,technique,superior,Joy Union - Charm technique
凌波微步,凌波微步,Rippling Steps,Lăng Ba Vi Bộ,technique,superior,Joy Union - Movement technique
过去弥陀经,過去彌陀經,Past Amitabha Sutra,Quá Khứ Di Đà Kinh,technique,superior,Soul Suppression - Buddhist technique
神霄雷法,神霄雷法,Divine Firmament Thunder Method,Thần Tiêu Lôi Pháp,technique,superior,Soul Suppression - Orthodox thunder
九字真言,九字真言,Nine Word Mantra,Cửu Tự Chân Ngôn,technique,superior,Soul Suppression - Daoist mantra
幽冥鬼爪,幽冥鬼爪,Netherworld Ghost Claw,U Minh Quỷ Trảo,technique,superior,Phantom Shadow - Assassination art
三千雷动,三千雷動,Three Thousand Thunders,Tam Thiên Lôi Động,technique,superior,Phantom Shadow - Speed technique
血神经,血神經,Blood Spirit Scripture,Huyết Thần Kinh,technique,superior,Phantom Shadow - Blood technique
神机百炼,神機百鍊,Divine Mechanism Hundred Refinements,Thần Cơ Bách Luyện,technique,superior,Thousand Sails - Crafting technique
周天星斗大阵,周天星斗大陣,Cosmic Star Formation,Chu Thiên Tinh Đẩu Đại Trận,technique,superior,Thousand Sails - Formation technique
纵地金光,縱地金光,Earth-Spanning Golden Light,Túng Địa Kim Quang,technique,superior,Thousand Sails - Speed technique
剑,劍,Sword,Kiếm,weapon,type,
刀,刀,Saber,Đao,weapon,type,Also: Blade
枪,槍,Spear,Thương,weapon,type,
棍,棍,Staff,Côn,weapon,type,
扇,扇,Fan,Phiến,weapon,type,
鞭,鞭,Whip,Tiên,weapon,type,
琴,琴,Zither,Cầm,weapon,type,Musical weapon
笛,笛,Flute,Địch,weapon,type,Musical weapon
暗器,暗器,Hidden Weapon,Ám Khí,weapon,type,
青霜剑,青霜劍,Cyan Frost Sword,Thanh Sương Kiếm,weapon,named,Sword - Foundation
井中月,井中月,Moon in the Well,Tỉnh Trung Nguyệt,weapon,named,Saber - Foundation
火尖枪,火尖槍,Flame Tip Spear,Hỏa Tiêm Thương,weapon,named,Spear - Foundation
囚龙棒,囚龍棒,Dragon Binding Staff,Tù Long Bổng,weapon,named,Staff - Foundation
桃花扇,桃花扇,Peach Blossom Fan,Đào Hoa Phiến,weapon,named,Fan - Foundation
打神鞭,打神鞭,God-Beating Whip,Đả Thần Tiên,weapon,named,Whip - Foundation
天魔琴,天魔琴,Heavenly Demon Zither,Thiên Ma Cầm,weapon,named,Zither - Foundation
鬼笛陈情,鬼笛陳情,Ghost Flute Chenqing,Quỷ Địch Trần Tình,weapon,named,Flute - Foundation
无影针,無影針,Shadowless Needle,Vô Ảnh Châm,weapon,named,Hidden - Foundation
万兽笛,萬獸笛,Myriad Beast Flute,Vạn Thú Địch,weapon,named,Flute - Foundation
血饮狂刀,血飲狂刀,Blood-Drinking Mad Saber,Huyết Ẩm Cuồng Đao,weapon,named,Saber - Foundation
玄铁重剑,玄鐵重劍,Black Iron Heavy Sword,Huyền Thiết Trọng Kiếm,weapon,named,Sword - Foundation
紫薇软剑,紫薇軟劍,Purple Star Soft Sword,Tử Vi Nhuyễn Kiếm,weapon,named,Sword - Foundation
水火囚龙棍,水火囚龍棍,Water-Fire Dragon Staff,Thủy Hỏa Tù Long Côn,weapon,named,Staff - Foundation
青竹蜂云剑,青竹蜂雲劍,Green Bamboo Bee Cloud Sword,Thanh Trúc Phong Vân Kiếm,weapon,named,Sword - Core
随心铁杆兵,隨心鐵桿兵,Compliant Golden-Hooped Rod,Tùy Tâm Thiết Can Binh,weapon,named,Staff - Core
五火七禽扇,五火七禽扇,Five Fire Seven Bird Fan,Ngũ Hỏa Thất Cầm Phiến,weapon,named,Fan - Core
斩仙飞刀,斬仙飛刀,Immortal-Slaying Flying Dagger,Trảm Tiên Phi Đao,weapon,named,Hidden - Core
干将莫邪,干將莫邪,Ganjiang and Moye,Can Tương Mạc Tà,weapon,named,Sword - Core
芭蕉扇,芭蕉扇,Banana Leaf Fan,Ba Tiêu Phiến,weapon,named,Fan - Core
紫金降魔杵,紫金降魔杵,Purple-Gold Demon Subduing Pestle,Tử Kim Hàng Ma Xử,weapon,named,Staff - Core
弑神枪,弒神槍,God-Slaying Spear,Thí Thần Thương,weapon,named,Spear - Nascent
赤锋矛,赤鋒矛,Crimson Edge Spear,Xích Phong Mâu,weapon,named,Spear - Nascent
诛仙剑,誅仙劍,Immortal Execution Sword,Tru Tiên Kiếm,weapon,named,Sword - Nascent
木灵甲,木靈甲,Wood Spirit Armor,Mộc Linh Giáp,auxiliary,,Foundation - Defense
血菩提,血菩提,Blood Bodhi,Huyết Bồ Đề,auxiliary,,Foundation - Healing
人参果(伪),人參果(偽),Pseudo Ginseng Fruit,Nhân Sâm Quả (Ngụy),auxiliary,,Foundation - Lifespan
万宝令,萬寶令,Myriad Treasures Token,Vạn Bảo Lệnh,auxiliary,,Foundation - Trading bonus
铁精,鐵精,Refined Iron Essence,Thiết Tinh,auxiliary,,Foundation - Crafting material
源天神眼,源天神眼,Origin Heaven Divine Eye,Nguyên Thiên Thần Nhãn,auxiliary,,Foundation - Detection
踏云靴,踏雲靴,Cloud-Treading Boots,Đạp Vân Ngoa,auxiliary,,Foundation - Movement
菩提子,菩提子,Bodhi Seed,Bồ Đề Tử,auxiliary,,Foundation - Breakthrough bonus
金丝软甲,金絲軟甲,Golden Silk Soft Armor,Kim Ty Nhuyễn Giáp,auxiliary,,Foundation - Defense
寒玉床,寒玉床,Cold Jade Bed,Hàn Ngọc Sàng,auxiliary,,Foundation - Cultivation bonus
无相面具,無相面具,Formless Mask,Vô Tướng Diện Cụ,auxiliary,,Foundation - Disguise
神风舟,神風舟,Divine Wind Boat,Thần Phong Chu,auxiliary,,Core - Flying vehicle
昆仑镜,崑崙鏡,Kunlun Mirror,Côn Luân Kính,auxiliary,,Core - Far-seeing
龙凤呈祥戒,龍鳳呈祥戒,Dragon-Phoenix Harmony Ring,Long Phượng Trình Tường Giới,auxiliary,,Core - Dual cultivation
隐形披风,隱形披風,Invisibility Cloak,Ẩn Hình Phi Phong,auxiliary,,Core - Stealth
御兽环,御獸環,Beast Control Ring,Ngự Thú Hoàn,auxiliary,,Core - Taming bonus
太虚甲,太虛甲,Supreme Void Armor,Thái Hư Giáp,auxiliary,,Core - Defense
八卦炉,八卦爐,Eight Trigrams Furnace,Bát Quái Lô,auxiliary,,Core - Alchemy bonus
聚宝盆,聚寶盆,Treasure Gathering Basin,Tụ Bảo Bồn,auxiliary,,Core - Wealth generation
天地烘炉,天地烘爐,Heaven-Earth Furnace,Thiên Địa Hồng Lô,auxiliary,,Core - Crafting bonus
六道剑匣,六道劍匣,Six Paths Sword Case,Lục Đạo Kiếm Hạp,auxiliary,,Core - Cultivation bonus
掌天瓶,掌天瓶,Heaven-Grasping Vial,Chưởng Thiên Bình,auxiliary,,Nascent - Cultivation boost
传国玉玺,傳國玉璽,Imperial Jade Seal,Truyền Quốc Ngọc Tỷ,auxiliary,,Nascent - Suppression bonus
灵眼之泉,靈眼之泉,Spirit Eye Spring,Linh Nhãn Chi Tuyền,auxiliary,,Core - Cultivation area
万魂幡,萬魂幡,Myriad Soul Banner,Vạn Hồn Phiên,auxiliary,,Nascent - Soul devouring
神木王鼎,神木王鼎,Divine Wood King Cauldron,Thần Mộc Vương Đỉnh,auxiliary,,Nascent - Alchemy
破境丹,破境丹,Breakthrough Pill,Phá Cảnh Đan,elixir,type,For breaking through bottlenecks
延寿丹,延壽丹,Longevity Pill,Diên Thọ Đan,elixir,type,Extends lifespan
长生丹,長生丹,Longevity Pill,Trường Sinh Đan,elixir,type,Extends lifespan
燃血丹,燃血丹,Blood Burning Pill,Nhiên Huyết Đan,elixir,type,Temporary power boost
疗伤丹,療傷丹,Healing Pill,Liệu Thương Đan,elixir,type,Restores HP
回春丹,回春丹,Rejuvenation Pill,Hồi Xuân Đan,elixir,type,Healing over time
练气破境丹,練氣破境丹,Qi Refinement Breakthrough Pill,Luyện Khí Phá Cảnh Đan,elixir,named,Qi Refinement - Breakthrough
筑基破境丹,築基破境丹,Foundation Breakthrough Pill,Trúc Cơ Phá Cảnh Đan,elixir,named,Foundation - Breakthrough
金丹破境丹,金丹破境丹,Core Formation Breakthrough Pill,Kim Đan Phá Cảnh Đan,elixir,named,Core - Breakthrough
练气长生丹,練氣長生丹,Qi Refinement Longevity Pill,Luyện Khí Trường Sinh Đan,elixir,named,Qi Refinement - Lifespan
筑基长生丹,築基長生丹,Foundation Longevity Pill,Trúc Cơ Trường Sinh Đan,elixir,named,Foundation - Lifespan
金丹长生丹,金丹長生丹,Core Formation Longevity Pill,Kim Đan Trường Sinh Đan,elixir,named,Core - Lifespan
元婴长生丹,元嬰長生丹,Nascent Soul Longevity Pill,Nguyên Anh Trường Sinh Đan,elixir,named,Nascent - Lifespan
练气燃血丹,練氣燃血丹,Qi Refinement Blood Burning Pill,Luyện Khí Nhiên Huyết Đan,elixir,named,Qi Refinement - Combat
筑基燃血丹,築基燃血丹,Foundation Blood Burning Pill,Trúc Cơ Nhiên Huyết Đan,elixir,named,Foundation - Combat
金丹燃血丹,金丹燃血丹,Core Formation Blood Burning Pill,Kim Đan Nhiên Huyết Đan,elixir,named,Core - Combat
元婴燃血丹,元嬰燃血丹,Nascent Soul Blood Burning Pill,Nguyên Anh Nhiên Huyết Đan,elixir,named,Nascent - Combat
练气回春丹,練氣回春丹,Qi Refinement Rejuvenation Pill,Luyện Khí Hồi Xuân Đan,elixir,named,Qi Refinement - Healing
筑基回春丹,築基回春丹,Foundation Rejuvenation Pill,Trúc Cơ Hồi Xuân Đan,elixir,named,Foundation - Healing
金丹回春丹,金丹回春丹,Core Formation Rejuvenation Pill,Kim Đan Hồi Xuân Đan,elixir,named,Core - Healing
元婴回春丹,元嬰回春丹,Nascent Soul Rejuvenation Pill,Nguyên Anh Hồi Xuân Đan,elixir,named,Nascent - Healing
灵石,靈石,Spirit Stone,Linh Thạch,item,,Currency
丹药,丹藥,Elixir,Đan Dược,item,,Also: Pill - Medicine
法宝,法寶,Artifact,Pháp Bảo,item,,Magical treasure
兵器,兵器,Weapon,Binh Khí,item,,
功法,功法,Cultivation Technique,Công Pháp,item,,Also: Art - Manual
辅助装备,輔助裝備,Auxiliary Equipment,Trang Bị Phụ Trợ,item,,Accessories
吐纳,吐納,Respire,Thổ Nạp,action,solo,Gain experience
突破,突破,Breakthrough,Đột Phá,action,solo,Advance realm
疗伤,療傷,Self Heal,Liệu Thương,action,solo,Recover HP
采集,採集,Harvest,Thu Thập,action,solo,Gather plants
狩猎,狩獵,Hunt,Săn Bắn,action,solo,Hunt animals
挖矿,挖礦,Mine,Khai Khoáng,action,solo,Extract ore
炼丹,煉丹,Refine Elixir,Luyện Đan,action,solo,Craft pills
铸造,鑄造,Forge,Chú Tạo,action,solo,Craft equipment
温养兵器,溫養兵器,Nurture Weapon,Ôn Dưỡng Binh Khí,action,solo,Increase proficiency
购买,購買,Buy,Mua,action,solo,Purchase items
出售,出售,Sell,Bán,action,solo,Sell items
消遣,消遣,Play,Tiêu Khiển,action,solo,Relax
御兽,御獸,Tame Beast,Ngự Thú,action,solo,Capture spirit beast
移动,移動,Move,Di Chuyển,action,solo,Travel
移动到区域,移動到區域,Move to Region,Di Chuyển Tới Khu Vực,action,solo,Travel to location
移动到角色,移動到角色,Move to Character,Di Chuyển Tới Nhân Vật,action,solo,Travel to person
移动探索,移動探索,Explore,Thám Tác,action,solo,Explore direction
离开区域,離開區域,Leave Region,Rời Khu Vực,action,solo,Depart area
远离角色,遠離角色,Move Away,Rời Xa Nhân Vật,action,solo,Distance from person
帮助凡人,幫助凡人,Aid Mortals,Giúp Đỡ Phàm Nhân,action,solo,Righteous action
搜刮凡人,搜刮凡人,Plunder Mortals,Cướp Đoạt Phàm Nhân,action,solo,Evil action
吞噬凡人,吞噬凡人,Devour Mortals,Thôn Phệ Phàm Nhân,action,solo,Consume souls
攀谈,攀談,Converse,Bắt Chuyện,action,mutual,Chat
交谈,交談,Talk,Trò Chuyện,action,mutual,Dialogue
切磋,切磋,Spar,Tỷ Thí,action,mutual,Friendly combat
攻击,攻擊,Attack,Công Kích,action,mutual,Initiate combat
发起战斗,發起戰鬥,Initiate Battle,Khởi Xướng Chiến Đấu,action,mutual,Start fight
暗杀,暗殺,Assassinate,Ám Sát,action,mutual,Stealth kill
逃离,逃離,Escape,Đào Ly,action,mutual,Flee combat
双修,雙修,Dual Cultivation,Song Tu,action,mutual,Partner cultivation
传道,傳道,Impart,Truyền Đạo,action,mutual,Teach disciple
赠送,贈送,Gift,Tặng,action,mutual,Give items
抢夺洞府,搶奪洞府,Seize Cave,Cướp Đoạt Động Phủ,action,mutual,Contest dwelling
驱赶,驅趕,Drive Away,Xua Đuổi,action,mutual,Force to leave
接受,接受,Accept,Chấp Nhận,action,feedback,
拒绝,拒絕,Reject,Từ Chối,action,feedback,
让步,讓步,Yield,Nhượng Bộ,action,feedback,
试图远离,試圖遠離,Try to Distance,Thử Rời Xa,action,feedback,
试图离开区域,試圖離開區域,Try to Leave Area,Thử Rời Khỏi Khu Vực,action,feedback,
逃离,逃離,Flee,Đào Ly,action,feedback,
战斗,戰鬥,Fight,Chiến Đấu,action,feedback,
误入洞府,誤入洞府,Stumbled into Cave Dwelling,Ngộ Nhập Động Phủ,event,fortune,Equipment
巧捡神兵,巧撿神兵,Found Divine Weapon,Nhặt Được Thần Binh,event,fortune,Equipment
巧捡奇物,巧撿奇物,Found Treasure,Nhặt Được Kỳ Vật,event,fortune,Equipment
误入试炼,誤入試煉,Entered Trial Ground,Ngộ Nhập Thí Luyện,event,fortune,Equipment
异象出世,異象出世,Witnessed Strange Phenomenon,Dị Tượng Xuất Thế,event,fortune,Equipment
高人赠予,高人贈予,Gift from Expert,Cao Nhân Tặng Cho,event,fortune,Equipment
高人指点,高人指點,Guidance from Expert,Cao Nhân Chỉ Điểm,event,fortune,Technique
玄妙感悟,玄妙感悟,Mystical Insight,Huyền Diệu Cảm Ngộ,event,fortune,Technique
危难相救,危難相救,Rescued from Danger,Nguy Nan Tương Cứu,event,fortune,Find Master
品行打动,品行打動,Impressed by Character,Phẩm Hạnh Cảm Động,event,fortune,Find Master
展露天赋,展露天賦,Displayed Talent,Triển Lộ Thiên Phú,event,fortune,Find Master
机缘巧合,機緣巧合,Fateful Coincidence,Cơ Duyên Xảo Hợp,event,fortune,Find Master
通过考验,通過考驗,Passed Trial,Vượt Qua Khảo Nghiệm,event,fortune,Find Master
偶遇灵矿,偶遇靈礦,Found Spirit Mine,Ngẫu Ngộ Linh Khoáng,event,fortune,Spirit Stones
洞府遗财,洞府遺財,Cave Dwelling Treasure,Động Phủ Di Tài,event,fortune,Spirit Stones
击杀妖兽,擊殺妖獸,Slew Monster,Kích Sát Yêu Thú,event,fortune,Spirit Stones
交易获利,交易獲利,Profitable Trade,Giao Dịch Đắc Lợi,event,fortune,Spirit Stones
赌石得宝,賭石得寶,Won Stone Gambling,Đổ Thạch Đắc Bảo,event,fortune,Spirit Stones
拾遗藏宝,拾遺藏寶,Found Hidden Treasure,Nhặt Được Tàng Bảo,event,fortune,Spirit Stones
顿悟玄机,頓悟玄機,Sudden Enlightenment,Đốn Ngộ Huyền Cơ,event,fortune,Cultivation
古碑感悟,古碑感悟,Insight from Ancient Stele,Cảm Ngộ Cổ Bi,event,fortune,Cultivation
服食灵药,服食靈藥,Consumed Spirit Medicine,Phục Thực Linh Dược,event,fortune,Cultivation
秘境吐纳,祕境吐納,Respired in Secret Realm,Bí Cảnh Thổ Nạp,event,fortune,Cultivation
前辈灌顶,前輩灌頂,Empowerment from Senior,Tiền Bối Quán Đỉnh,event,fortune,Cultivation
灵泉淬体,靈泉淬體,Tempered by Spirit Spring,Linh Tuyền Thối Thể,event,fortune,Cultivation
传承记忆,傳承記憶,Inherited Memory,Ký Ức Truyền Thừa,event,fortune,Cultivation
遭遇扒手,遭遇扒手,Encountered Pickpocket,Gặp Phải Móc Túi,event,misfortune,Loss - Spirit stones
误买假货,誤買假貨,Bought Counterfeit Goods,Mua Nhầm Hàng Giả,event,misfortune,Loss - Spirit stones
遭人勒索,遭人勒索,Was Extorted,Bị Tống Tiền,event,misfortune,Loss - Spirit stones
洞府失窃,洞府失竊,Cave Dwelling Robbed,Động Phủ Bị Trộm,event,misfortune,Loss - Spirit stones
赌石惨败,賭石慘敗,Lost Stone Gambling,Đổ Thạch Thảm Bại,event,misfortune,Loss - Spirit stones
投资失败,投資失敗,Failed Investment,Đầu Tư Thất Bại,event,misfortune,Loss - Spirit stones
修炼岔气,修煉岔氣,Cultivation Deviation,Tẩu Hỏa Sai Khí,event,misfortune,Injury - Qi went astray
出门摔伤,出門摔傷,Fell and Got Injured,Ra Ngoài Trượt Ngã,event,misfortune,Injury
妖兽偷袭,妖獸偷襲,Ambushed by Beast,Yêu Thú Tập Kích,event,misfortune,Injury
仇家闷棍,仇家悶棍,Ambushed by Enemy,Kẻ Thù Đánh Lén,event,misfortune,Injury
误触机关,誤觸機關,Triggered Trap,Lỡ Chạm Cơ Quan,event,misfortune,Injury
天降横祸,天降橫禍,Unexpected Disaster,Thiên Giáng Hoành Họa,event,misfortune,Injury
心魔滋生,心魔滋生,Heart Demon Arose,Tâm Ma Nảy Sinh,event,misfortune,Backlash
灵气逆行,靈氣逆行,Qi Reversal,Linh Khí Nghịch Hành,event,misfortune,Backlash
感悟错乱,感悟錯亂,Confused Insight,Cảm Ngộ Hỗn Loạn,event,misfortune,Backlash
急火攻心,急火攻心,Overcome by Rage,Cấp Hỏa Công Tâm,event,misfortune,Backlash
心魔,心魔,Heart Demon Tribulation,Tâm Ma,event,tribulation,Inner demon - self-doubt
雷劫,雷劫,Thunder Tribulation,Lôi Kiếp,event,tribulation,Heavenly lightning
肉身,肉身,Body Tribulation,Nhục Thân Kiếp,event,tribulation,Physical transformation
寻仇,尋仇,Vengeance Tribulation,Tầm Thù,event,tribulation,Past enemies return
情劫,情劫,Emotion Tribulation,Tình Kiếp,event,tribulation,Love/attachment trial
阳罡,陽罡,Yang Force Tribulation,Dương Cương,event,tribulation,Scorching yang energy
雷火,雷火,Thunder-Fire Tribulation,Lôi Hỏa,event,tribulation,Combined lightning and fire
风灾,風災,Wind Disaster Tribulation,Phong Tai,event,tribulation,Violent tempest
阴狱,陰獄,Yin Prison Tribulation,Âm Ngục,event,tribulation,Netherworld judgment
魔劫,魔劫,Demonic Tribulation,Ma Kiếp,event,tribulation,Inner demons manifest
老死,老死,Died of Old Age,Chết Già,event,death,Lifespan exhausted
战死,戰死,Died in Battle,Chiến Tử,event,death,
重伤不治,重傷不治,Died from Severe Injuries,Trọng Thương Bất Trị,event,death,
平静,平靜,Calm,Bình Tĩnh,emotion,,
开心,開心,Happy,Vui Vẻ,emotion,,
愤怒,憤怒,Angry,Phẫn Nộ,emotion,,
悲伤,悲傷,Sad,Bi Thương,emotion,,
恐惧,恐懼,Fearful,Sợ Hãi,emotion,,
惊讶,驚訝,Surprised,Kinh Ngạc,emotion,,
期待,期待,Expectant,Mong Đợi,emotion,,
厌恶,厭惡,Disgusted,Chán Ghét,emotion,,
疑惑,疑惑,Confused,Nghi Hoặc,emotion,,
疲惫,疲憊,Exhausted,Mệt Mỏi,emotion,,
系统菜单,系統選單,System Menu,Trình Đơn Hệ Thống,ui,,
开始游戏,開始遊戲,Start Game,Bắt Đầu Trò Chơi,ui,,
加载游戏,載入遊戲,Load Game,Tải Trò Chơi,ui,,
保存游戏,儲存遊戲,Save Game,Lưu Trò Chơi,ui,,
新建角色,新建角色,Create Character,Tạo Nhân Vật,ui,,
删除角色,刪除角色,Delete Character,Xóa Nhân Vật,ui,,
设置,設定,Settings,Cài Đặt,ui,,
其他,其他,Other,Khác,ui,,
境界,境界,Realm,Cảnh Giới,ui,,
年龄,年齡,Age,Tuổi,ui,,
性别,性別,Gender,Giới Tính,ui,,
男,男,Male,Nam,ui,,
女,女,Female,Nữ,ui,,
宗门,宗門,Sect,Tông Môn,ui,,
散修,散修,Rogue Cultivator,Tán Tu,ui,,Independent - no sect
灵根,靈根,Spiritual Root,Linh Căn,ui,,
灵石,靈石,Spirit Stones,Linh Thạch,ui,,
颜值,顏值,Appearance,Nhan Trị,ui,,
基础战力,基礎戰力,Base Combat Power,Chiến Lực Cơ Bản,ui,,
情绪,情緒,Emotion,Cảm Xúc,ui,,
当前思考,當前思考,Current Thoughts,Suy Nghĩ Hiện Tại,ui,,
特质,特質,Traits,Đặc Chất,ui,,Also: Persona
功法与装备,功法與裝備,Techniques & Equipment,Công Pháp Và Trang Bị,ui,,
长期目标,長期目標,Long-term Objective,Mục Tiêu Dài Hạn,ui,,
短期目标,短期目標,Short-term Objective,Mục Tiêu Ngắn Hạn,ui,,
设定目标,設定目標,Set Objective,Đặt Mục Tiêu,ui,,
清空目标,清空目標,Clear Objective,Xóa Mục Tiêu,ui,,
语言,語言,Language,Ngôn Ngữ,ui,,
中文,中文,Chinese,Tiếng Trung,ui,,
英文,英文,English,Tiếng Anh,ui,,
